numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg_delay	std_delay	std_delay_percent
10	20	500	0	683,827	10,25	1,50	3,571
10	20	500	5	683,827	10,25	1,50	2,245
10	20	500	10	683,827	10,25	1,50	2,237
10	20	500	20	683,827	10,25	1,50	1,951
10	20	500	40	683,827	10,25	1,50	2,057
10	20	500	60	683,827	10,25	1,50	2,009
10	20	500	80	683,827	10,25	1,50	2,051
10	20	500	99	683,827	10,25	1,50	2,123
10	20	1000	0	683,827	10,25	1,50	3,589
10	20	1000	5	683,827	10,25	1,50	3,524
10	20	1000	10	683,827	10,25	1,50	3,748
10	20	1000	20	683,827	10,25	1,50	3,464
10	20	1000	40	683,827	10,25	1,50	3,424
10	20	1000	60	683,827	10,25	1,50	3,412
10	20	1000	80	683,827	10,25	1,50	3,431
10	20	1000	99	683,827	10,25	1,50	3,321
10	20	1500	0	683,827	10,25	1,50	4,735
10	20	1500	5	683,827	10,25	1,50	4,756
10	20	1500	10	683,827	10,25	1,50	4,720
10	20	1500	20	683,827	10,25	1,50	4,545
10	20	1500	40	683,827	10,25	1,50	4,556
10	20	1500	60	683,827	10,25	1,50	4,659
10	20	1500	80	683,827	10,25	1,50	4,547
10	20	1500	99	683,827	10,25	1,50	4,640
10	20	2000	0	683,827	10,25	1,50	6,284
10	20	2000	5	683,827	10,25	1,50	6,262
10	20	2000	10	683,827	10,25	1,50	6,234
10	20	2000	20	683,827	10,25	1,50	6,107
10	20	2000	40	683,827	10,25	1,50	6,065
10	20	2000	60	683,827	10,25	1,50	6,032
10	20	2000	80	683,827	10,25	1,50	6,028
10	20	2000	99	683,827	10,25	1,50	6,055
10	20	3000	0	683,827	10,25	1,50	9,191
10	20	3000	5	683,827	10,25	1,50	9,267
10	20	3000	10	683,827	10,25	1,50	9,219
10	20	3000	20	683,827	10,25	1,50	9,041
10	20	3000	40	683,827	10,25	1,50	9,001
10	20	3000	60	683,827	10,25	1,50	8,904
10	20	3000	80	683,827	10,25	1,50	9,201
10	20	3000	99	683,827	10,25	1,50	9,093
10	20	4000	0	683,827	10,25	1,50	12,174
10	20	4000	5	683,827	10,25	1,50	12,130
10	20	4000	10	683,827	10,25	1,50	12,177
10	20	4000	20	683,827	10,25	1,50	12,084
10	20	4000	40	683,827	10,25	1,50	11,909
10	20	4000	60	683,827	10,25	1,50	11,680
10	20	4000	80	683,827	10,25	1,50	12,201
10	20	4000	99	683,827	10,25	1,50	11,881
10	20	5000	0	683,827	10,25	1,50	14,735
10	20	5000	5	683,827	10,25	1,50	15,031
10	20	5000	10	683,827	10,25	1,50	15,422
10	20	5000	20	683,827	10,25	1,50	14,947
10	20	5000	40	683,827	10,25	1,50	14,589
10	20	5000	60	683,827	10,25	1,50	14,859
10	20	5000	80	683,827	10,25	1,50	14,730
10	20	5000	99	683,827	10,25	1,50	14,840
10	20	7500	0	683,827	10,25	1,50	22,404
10	20	7500	5	683,827	10,25	1,50	22,266
10	20	7500	10	683,827	10,25	1,50	22,170
10	20	7500	20	683,827	10,25	1,50	21,604
10	20	7500	40	683,827	10,25	1,50	22,018
10	20	7500	60	683,827	10,25	1,50	21,960
10	20	7500	80	683,827	10,25	1,50	21,892
10	20	7500	99	683,827	10,25	1,50	21,742
10	20	10000	0	683,827	10,25	1,50	30,049
10	20	10000	5	683,827	10,25	1,50	29,294
10	20	10000	10	683,827	10,25	1,50	29,417
10	20	10000	20	683,827	10,25	1,50	29,562
10	20	10000	40	683,827	10,25	1,50	29,156
10	20	10000	60	683,827	10,25	1,50	29,523
10	20	10000	80	683,827	10,25	1,50	29,158
10	20	10000	99	683,827	10,25	1,50	29,192
10	20	12500	0	683,827	10,25	1,50	36,465
10	20	12500	5	683,827	10,25	1,50	36,781
10	20	12500	10	683,827	10,25	1,50	36,973
10	20	12500	20	683,827	10,25	1,50	36,592
10	20	12500	40	683,827	10,25	1,50	37,099
10	20	12500	60	683,827	10,25	1,50	36,314
10	20	12500	80	683,827	10,25	1,50	36,862
10	20	12500	99	683,827	10,25	1,50	36,234
10	20	15000	0	683,827	10,25	1,50	44,277
10	20	15000	5	683,827	10,25	1,50	44,341
10	20	15000	10	683,827	10,25	1,50	43,597
10	20	15000	20	683,827	10,25	1,50	44,009
10	20	15000	40	683,827	10,25	1,50	44,985
10	20	15000	60	683,827	10,25	1,50	43,792
10	20	15000	80	683,827	10,25	1,50	44,079
10	20	15000	99	683,827	10,25	1,50	43,540
10	20	17500	0	683,827	10,25	1,50	50,810
10	20	17500	5	683,827	10,25	1,50	50,861
10	20	17500	10	683,827	10,25	1,50	51,363
10	20	17500	20	683,827	10,25	1,50	50,207
10	20	17500	40	683,827	10,25	1,50	51,042
10	20	17500	60	683,827	10,25	1,50	50,707
10	20	17500	80	683,827	10,25	1,50	50,550
10	20	17500	99	683,827	10,25	1,50	49,920
10	20	20000	0	683,827	10,25	1,50	58,130
10	20	20000	5	683,827	10,25	1,50	58,005
10	20	20000	10	683,827	10,25	1,50	57,622
10	20	20000	20	683,827	10,25	1,50	59,177
10	20	20000	40	683,827	10,25	1,50	58,739
10	20	20000	60	683,827	10,25	1,50	58,120
10	20	20000	80	683,827	10,25	1,50	57,292
10	20	20000	99	683,827	10,25	1,50	57,801
10	20	25000	0	683,827	10,25	1,50	72,313
10	20	25000	5	683,827	10,25	1,50	71,722
10	20	25000	10	683,827	10,25	1,50	72,074
