10: 10, 15000, 0% = 705,285 +- 25,75 (3,65 %) (74,195)
10: 15, 15000, 10% = 696,611 +- 40,56 (5,82 %) (61,320)
10: 20, 15000, 60% = 696,014 +- 26,99 (3,88 %) (59,720)
10: 30, 15000, 80% = 689,927 +- 17,70 (2,57 %) (57,658)
10: 40, 15000, 80% = 689,927 +- 17,70 (2,57 %) (56,843)
10: 50, 15000, 80% = 689,927 +- 17,70 (2,57 %) (60,573)
10: 70, 15000, 0% = 685,881 +- 13,64 (1,99 %) (63,222)
10: 80, 15000, 10% = 685,881 +- 13,64 (1,99 %) (60,085)
10: 90, 15000, 80% = 685,881 +- 13,64 (1,99 %) (57,213)
10: 100, 15000, 40% = 685,881 +- 13,64 (1,99 %) (58,616)
10: 125, 15000, 60% = 689,927 +- 17,70 (2,57 %) (61,236)
10: 175, 15000, 0% = 694,080 +- 15,18 (2,19 %) (78,953)
10: 225, 15000, 5% = 689,927 +- 17,70 (2,57 %) (67,358)
10: 250, 15000, 10% = 685,881 +- 13,64 (1,99 %) (65,744)
10: 275, 15000, 20% = 685,881 +- 13,64 (1,99 %) (62,716)
10: 300, 15000, 40% = 689,927 +- 17,70 (2,57 %) (62,182)
10: 350, 15000, 60% = 689,927 +- 17,70 (2,57 %) (66,541)
10: 450, 15000, 5% = 691,669 +- 22,59 (3,27 %) (73,916)
10: 500, 15000, 10% = 689,927 +- 17,70 (2,57 %) (70,118)
10: 5, 20000, 20% = 696,495 +- 33,98 (4,88 %) (80,318)
10: 10, 20000, 60% = 685,881 +- 13,64 (1,99 %) (72,379)
10: 15, 20000, 99% = 692,103 +- 19,26 (2,78 %) (74,692)
10: 30, 20000, 0% = 685,881 +- 13,64 (1,99 %) (75,311)
10: 40, 20000, 10% = 685,881 +- 13,64 (1,99 %) (72,891)
10: 50, 20000, 40% = 691,642 +- 22,51 (3,25 %) (75,155)
10: 60, 20000, 80% = 689,927 +- 17,70 (2,57 %) (78,125)
10: 80, 20000, 5% = 689,927 +- 17,70 (2,57 %) (75,808)
10: 90, 20000, 10% = 685,881 +- 13,64 (1,99 %) (81,634)
10: 100, 20000, 60% = 689,927 +- 17,70 (2,57 %) (75,211)
10: 125, 20000, 99% = 689,927 +- 17,70 (2,57 %) (75,345)
10: 175, 20000, 5% = 689,927 +- 17,70 (2,57 %) (84,346)
10: 200, 20000, 10% = 689,927 +- 17,70 (2,57 %) (79,284)
10: 225, 20000, 40% = 689,927 +- 17,70 (2,57 %) (77,603)
10: 250, 20000, 80% = 685,881 +- 13,64 (1,99 %) (77,977)
10: 300, 20000, 0% = 688,290 +- 19,71 (2,86 %) (113,152)
10: 350, 20000, 60% = 689,927 +- 17,70 (2,57 %) (86,339)
10: 400, 20000, 99% = 691,642 +- 22,51 (3,25 %) (82,076)
10: 500, 20000, 5% = 689,927 +- 17,70 (2,57 %) (90,949)
