20: 10, 500, 99% = 724,113 +- 43,34 (5,99 %) (12,024)
20: 20, 500, 20% = 726,109 +- 44,85 (6,18 %) (12,880)
20: 30, 500, 0% = 767,191 +- 0,47 (0,06 %) (25,216)
20: 40, 500, 60% = 767,191 +- 0,47 (0,06 %) (21,768)
20: 60, 500, 5% = 767,191 +- 0,47 (0,06 %) (27,263)
20: 70, 500, 20% = 767,191 +- 0,47 (0,06 %) (22,272)
20: 80, 500, 60% = 767,191 +- 0,47 (0,06 %) (20,973)
20: 100, 500, 0% = 767,191 +- 0,47 (0,06 %) (27,169)
20: 125, 500, 20% = 767,191 +- 0,47 (0,06 %) (24,824)
20: 150, 500, 99% = 767,191 +- 0,47 (0,06 %) (19,448)
20: 175, 500, 99% = 767,191 +- 0,47 (0,06 %) (23,854)
20: 225, 500, 5% = 767,191 +- 0,47 (0,06 %) (30,734)
20: 250, 500, 20% = 767,191 +- 0,47 (0,06 %) (24,542)
20: 275, 500, 80% = 767,191 +- 0,47 (0,06 %) (22,113)
20: 350, 500, 0% = 767,191 +- 0,47 (0,06 %) (28,525)
20: 400, 500, 10% = 767,191 +- 0,47 (0,06 %) (28,907)
20: 450, 500, 40% = 767,191 +- 0,47 (0,06 %) (30,277)
20: 10, 1000, 5% = 767,191 +- 0,47 (0,06 %) (37,355)
20: 30, 1000, 0% = 767,191 +- 0,47 (0,06 %) (31,997)
20: 40, 1000, 10% = 767,191 +- 0,47 (0,06 %) (36,496)
20: 60, 1000, 0% = 767,191 +- 0,47 (0,06 %) (31,076)
20: 70, 1000, 40% = 747,999 +- 73,58 (9,84 %) (19,716)
20: 80, 1000, 40% = 767,191 +- 0,47 (0,06 %) (31,292)
20: 90, 1000, 99% = 767,191 +- 0,47 (0,06 %) (24,001)
20: 125, 1000, 0% = 767,191 +- 0,47 (0,06 %) (33,482)
20: 150, 1000, 10% = 767,191 +- 0,47 (0,06 %) (33,886)
20: 175, 1000, 40% = 767,191 +- 0,47 (0,06 %) (27,859)
20: 200, 1000, 80% = 767,191 +- 0,47 (0,06 %) (26,809)
20: 225, 1000, 80% = 767,191 +- 0,47 (0,06 %) (27,372)
20: 275, 1000, 0% = 767,191 +- 0,47 (0,06 %) (38,359)
20: 300, 1000, 20% = 767,191 +- 0,47 (0,06 %) (38,407)
20: 400, 1000, 5% = 767,191 +- 0,47 (0,06 %) (40,476)
20: 450, 1000, 20% = 767,191 +- 0,47 (0,06 %) (40,621)
20: 10, 2000, 0% = 767,191 +- 0,47 (0,06 %) (49,279)
20: 20, 2000, 20% = 711,113 +- 34,22 (4,81 %) (32,198)
20: 30, 2000, 80% = 713,247 +- 35,07 (4,92 %) (33,320)
20: 40, 2000, 60% = 715,846 +- 46,25 (6,46 %) (32,549)
20: 60, 2000, 0% = 767,191 +- 0,47 (0,06 %) (51,433)
20: 70, 2000, 10% = 767,191 +- 0,47 (0,06 %) (53,542)
20: 90, 2000, 0% = 767,191 +- 0,47 (0,06 %) (54,477)
20: 100, 2000, 40% = 736,905 +- 53,45 (7,25 %) (35,726)
20: 125, 2000, 40% = 732,470 +- 51,23 (6,99 %) (30,442)
20: 150, 2000, 80% = 725,328 +- 66,02 (9,10 %) (29,093)
20: 175, 2000, 10% = 767,191 +- 0,47 (0,06 %) (51,405)
20: 225, 2000, 0% = 767,191 +- 0,47 (0,06 %) (51,014)
20: 250, 2000, 20% = 767,191 +- 0,47 (0,06 %) (46,410)
20: 300, 2000, 0% = 767,191 +- 0,47 (0,06 %) (52,047)
20: 350, 2000, 20% = 767,191 +- 0,47 (0,06 %) (48,540)
20: 450, 2000, 5% = 767,191 +- 0,47 (0,06 %) (53,335)
20: 500, 2000, 20% = 767,191 +- 0,47 (0,06 %) (48,225)
20: 10, 3000, 80% = 705,532 +- 34,29 (4,86 %) (36,726)
20: 20, 3000, 80% = 711,559 +- 41,26 (5,80 %) (40,822)
20: 30, 3000, 80% = 709,841 +- 33,09 (4,66 %) (39,882)
20: 50, 3000, 0% = 767,191 +- 0,47 (0,06 %) (59,169)
20: 60, 3000, 10% = 767,191 +- 0,47 (0,06 %) (66,368)
20: 80, 3000, 5% = 767,191 +- 0,47 (0,06 %) (62,728)
20: 90, 3000, 20% = 732,112 +- 53,37 (7,29 %) (47,148)
20: 100, 3000, 40% = 727,689 +- 49,98 (6,87 %) (44,557)
20: 125, 3000, 80% = 716,460 +- 47,63 (6,65 %) (38,374)
20: 150, 3000, 40% = 726,018 +- 52,85 (7,28 %) (39,930)
20: 175, 3000, 40% = 712,629 +- 36,69 (5,15 %) (43,272)
20: 200, 3000, 80% = 726,082 +- 55,83 (7,69 %) (34,257)
20: 225, 3000, 20% = 767,191 +- 0,47 (0,06 %) (57,455)
20: 275, 3000, 0% = 767,191 +- 0,47 (0,06 %) (63,441)
20: 300, 3000, 40% = 716,690 +- 51,67 (7,21 %) (45,343)
20: 350, 3000, 60% = 767,191 +- 0,47 (0,06 %) (47,027)
20: 400, 3000, 80% = 735,108 +- 69,00 (9,39 %) (38,765)
20: 450, 3000, 40% = 767,191 +- 0,47 (0,06 %) (51,880)
20: 500, 3000, 99% = 767,191 +- 0,47 (0,06 %) (38,212)
20: 10, 4000, 60% = 705,115 +- 29,10 (4,13 %) (51,651)
20: 20, 4000, 80% = 709,587 +- 40,30 (5,68 %) (49,214)
20: 30, 4000, 80% = 706,840 +- 25,16 (3,56 %) (50,058)
20: 50, 4000, 0% = 767,191 +- 0,47 (0,06 %) (75,572)
20: 60, 4000, 10% = 767,191 +- 0,47 (0,06 %) (77,375)
20: 80, 4000, 5% = 767,191 +- 0,47 (0,06 %) (82,219)
20: 90, 4000, 20% = 722,914 +- 52,63 (7,28 %) (65,918)
20: 125, 4000, 0% = 767,191 +- 0,47 (0,06 %) (81,765)
20: 150, 4000, 10% = 767,191 +- 0,47 (0,06 %) (82,503)
20: 200, 4000, 0% = 767,191 +- 0,47 (0,06 %) (79,444)
20: 225, 4000, 10% = 767,191 +- 0,47 (0,06 %) (82,622)
20: 275, 4000, 5% = 767,191 +- 0,47 (0,06 %) (83,370)
20: 300, 4000, 99% = 719,566 +- 48,03 (6,68 %) (47,121)
20: 350, 4000, 40% = 724,993 +- 39,48 (5,45 %) (56,498)
20: 400, 4000, 60% = 732,642 +- 61,04 (8,33 %) (52,412)
20: 450, 4000, 80% = 716,701 +- 41,10 (5,73 %) (45,974)
20: 500, 4000, 10% = 767,191 +- 0,47 (0,06 %) (78,834)
20: 20, 5000, 0% = 732,730 +- 30,86 (4,21 %) (77,504)
20: 30, 5000, 10% = 736,390 +- 30,08 (4,08 %) (76,278)
20: 40, 5000, 80% = 704,153 +- 32,45 (4,61 %) (60,296)
20: 50, 5000, 99% = 699,804 +- 27,82 (3,97 %) (53,661)
20: 60, 5000, 99% = 709,435 +- 45,80 (6,46 %) (61,987)
20: 70, 5000, 99% = 704,008 +- 39,58 (5,62 %) (55,349)
20: 80, 5000, 80% = 699,853 +- 28,93 (4,13 %) (56,837)
20: 90, 5000, 40% = 713,551 +- 39,06 (5,47 %) (61,096)
20: 100, 5000, 40% = 714,428 +- 37,12 (5,20 %) (64,532)
20: 125, 5000, 80% = 710,357 +- 37,08 (5,22 %) (57,828)
20: 150, 5000, 60% = 721,069 +- 49,69 (6,89 %) (61,257)
20: 175, 5000, 60% = 718,482 +- 42,08 (5,86 %) (58,396)
20: 200, 5000, 60% = 716,115 +- 46,56 (6,50 %) (54,974)
20: 225, 5000, 40% = 728,523 +- 57,08 (7,84 %) (65,031)
20: 275, 5000, 0% = 767,191 +- 0,47 (0,06 %) (97,855)
20: 300, 5000, 10% = 767,191 +- 0,47 (0,06 %) (94,515)
20: 400, 5000, 5% = 767,191 +- 0,47 (0,06 %) (95,490)
20: 450, 5000, 20% = 767,191 +- 0,47 (0,06 %) (94,676)
20: 10, 7500, 5% = 735,557 +- 26,56 (3,61 %) (109,227)
20: 20, 7500, 20% = 704,134 +- 31,00 (4,40 %) (83,941)
20: 30, 7500, 60% = 701,035 +- 21,62 (3,08 %) (83,367)
20: 40, 7500, 80% = 697,348 +- 23,36 (3,35 %) (78,136)
20: 50, 7500, 99% = 696,354 +- 19,87 (2,85 %) (76,837)
20: 70, 7500, 0% = 767,191 +- 0,47 (0,06 %) (125,583)
20: 80, 7500, 10% = 711,845 +- 35,08 (4,93 %) (105,431)
20: 90, 7500, 99% = 704,996 +- 35,58 (5,05 %) (86,097)
20: 100, 7500, 99% = 702,000 +- 20,95 (2,98 %) (84,490)
20: 150, 7500, 0% = 767,191 +- 0,47 (0,06 %) (130,465)
20: 175, 7500, 20% = 767,191 +- 0,47 (0,06 %) (128,028)
20: 225, 7500, 0% = 767,191 +- 0,47 (0,06 %) (133,625)
20: 250, 7500, 10% = 767,191 +- 0,47 (0,06 %) (133,554)
20: 300, 7500, 5% = 767,191 +- 0,47 (0,06 %) (133,703)
20: 350, 7500, 20% = 717,646 +- 47,21 (6,58 %) (112,708)
20: 450, 7500, 0% = 767,191 +- 0,47 (0,06 %) (135,711)
20: 500, 7500, 10% = 767,191 +- 0,47 (0,06 %) (132,801)
20: 20, 10000, 5% = 726,999 +- 27,45 (3,78 %) (141,007)
20: 30, 10000, 20% = 696,466 +- 21,79 (3,13 %) (100,355)
20: 40, 10000, 10% = 741,648 +- 29,60 (3,99 %) (149,567)
20: 60, 10000, 0% = 746,685 +- 38,53 (5,16 %) (154,235)
20: 70, 10000, 20% = 744,822 +- 45,25 (6,08 %) (149,527)
20: 90, 10000, 0% = 767,191 +- 0,47 (0,06 %) (168,888)
20: 100, 10000, 20% = 706,333 +- 31,41 (4,45 %) (120,605)
20: 125, 10000, 40% = 700,623 +- 33,30 (4,75 %) (119,566)
20: 150, 10000, 80% = 708,014 +- 40,66 (5,74 %) (112,636)
20: 175, 10000, 99% = 711,715 +- 43,74 (6,15 %) (108,557)
20: 200, 10000, 80% = 709,687 +- 45,64 (6,43 %) (112,608)
20: 250, 10000, 0% = 767,191 +- 0,47 (0,06 %) (169,578)
20: 275, 10000, 10% = 767,191 +- 0,47 (0,06 %) (174,374)
20: 350, 10000, 5% = 767,191 +- 0,47 (0,06 %) (173,672)
20: 400, 10000, 20% = 721,340 +- 39,96 (5,54 %) (133,825)
20: 500, 10000, 0% = 767,191 +- 0,47 (0,06 %) (166,814)
20: 10, 12500, 10% = 735,494 +- 26,52 (3,61 %) (169,352)
20: 20, 12500, 80% = 701,171 +- 28,37 (4,05 %) (130,367)
20: 30, 12500, 99% = 692,237 +- 15,60 (2,25 %) (117,612)
20: 40, 12500, 99% = 696,113 +- 19,07 (2,74 %) (126,435)
20: 60, 12500, 5% = 735,463 +- 25,23 (3,43 %) (191,922)
20: 70, 12500, 20% = 736,254 +- 45,14 (6,13 %) (183,847)
20: 90, 12500, 0% = 767,191 +- 0,47 (0,06 %) (206,652)
20: 100, 12500, 20% = 704,155 +- 33,25 (4,72 %) (140,856)
20: 125, 12500, 80% = 697,290 +- 22,13 (3,17 %) (131,465)
20: 150, 12500, 80% = 703,808 +- 31,42 (4,46 %) (130,444)
20: 175, 12500, 60% = 706,191 +- 41,01 (5,81 %) (137,861)
20: 200, 12500, 99% = 713,977 +- 38,60 (5,41 %) (128,546)
20: 225, 12500, 99% = 704,645 +- 31,05 (4,41 %) (128,691)
20: 250, 12500, 80% = 707,795 +- 43,85 (6,20 %) (130,924)
20: 275, 12500, 99% = 711,988 +- 42,91 (6,03 %) (129,346)
20: 350, 12500, 0% = 767,191 +- 0,47 (0,06 %) (200,264)
20: 400, 12500, 10% = 767,191 +- 0,47 (0,06 %) (207,142)
20: 500, 12500, 5% = 767,191 +- 0,47 (0,06 %) (200,576)
20: 10, 15000, 20% = 733,916 +- 23,71 (3,23 %) (198,877)
20: 20, 15000, 80% = 701,198 +- 27,74 (3,96 %) (150,344)
20: 30, 15000, 99% = 692,237 +- 15,60 (2,25 %) (139,972)
