numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
10	2	500	100	702,950	41,11	5,85	19,335
10	10	1000	100	699,346	42,50	6,08	7,539
10	18	2500	100	696,638	40,65	5,83	11,722
10	6	7500	100	691,669	22,59	3,27	30,160
10	14	10000	100	696,498	34,80	5,00	44,296
10	2	20000	100	692,193	19,36	2,80	83,478
10	10	25000	100	696,938	35,57	5,10	110,514
15	27	500	100	771,690	42,39	5,49	5,454
15	9	2500	100	726,135	38,82	5,35	22,455
15	21	5000	100	707,449	39,37	5,57	38,546
15	3	10000	100	722,710	28,89	4,00	94,782
15	15	15000	100	724,070	38,03	5,25	133,911
15	27	20000	100	711,611	24,62	3,46	181,900
20	12	500	100	725,841	41,33	5,69	6,051
20	28	1000	100	721,777	42,39	5,87	12,244
20	4	5000	100	710,605	28,80	4,05	60,468
20	20	7500	100	701,220	29,09	4,15	85,316
20	36	10000	100	698,219	28,24	4,04	107,960
20	12	20000	100	706,434	30,67	4,34	215,943
20	28	25000	100	701,716	19,55	2,79	269,184
25	5	1000	100	790,430	42,58	5,39	22,819
25	25	2500	100	739,954	50,85	6,87	41,684
25	45	5000	100	727,653	50,29	6,91	83,676
25	15	10000	100	708,968	38,65	5,45	160,833
25	35	15000	100	718,007	40,34	5,62	245,455
25	5	25000	100	748,153	33,53	4,48	457,816
10	4	500	100	697,981	24,86	3,56	15,964
10	12	1000	100	690,292	15,62	2,26	6,817
10	20	2500	100	694,512	23,34	3,36	11,960
10	8	7500	100	702,284	36,57	5,21	32,498
10	16	10000	100	691,669	22,59	3,27	37,201
10	4	20000	100	696,239	21,11	3,03	78,743
10	12	25000	100	685,881	13,64	1,99	92,677
15	30	500	100	738,588	48,63	6,58	4,687
15	12	2500	100	737,982	33,89	4,59	23,856
15	24	5000	100	706,685	30,41	4,30	35,992
15	6	10000	100	739,038	36,29	4,91	95,241
15	18	15000	100	717,797	34,38	4,79	120,572
15	30	20000	100	703,825	30,01	4,26	139,763
20	16	500	100	715,319	47,78	6,68	5,544
20	32	1000	100	715,521	34,32	4,80	11,272
20	8	5000	100	709,497	34,98	4,93	53,386
20	24	7500	100	700,998	23,90	3,41	79,402
20	40	10000	100	696,015	22,11	3,18	101,871
20	16	20000	100	694,991	16,69	2,40	197,702
20	32	25000	100	695,671	14,76	2,12	243,625
25	10	1000	100	739,388	55,99	7,57	17,682
25	30	2500	100	724,790	37,53	5,18	41,256
25	50	5000	100	718,586	47,81	6,65	77,334
25	20	10000	100	713,429	36,92	5,17	156,620
25	40	15000	100	709,989	30,70	4,32	227,073
25	10	25000	100	712,880	33,19	4,66	378,614
10	2	1000	100	702,950	41,11	5,85	17,645
10	10	2500	100	697,316	36,64	5,25	12,626
10	18	5000	100	689,927	17,70	2,57	20,470
10	6	10000	100	691,669	22,59	3,27	38,384
10	14	15000	100	696,498	34,80	5,00	61,110
10	2	25000	100	692,193	19,36	2,80	97,527
15	15	500	100	740,753	49,52	6,68	5,027
15	27	1000	100	749,541	42,44	5,66	10,200
15	9	5000	100	716,462	29,18	4,07	42,224
15	21	7500	100	703,369	34,67	4,93	53,259
15	3	15000	100	715,490	24,19	3,38	133,062
15	15	20000	100	721,215	34,80	4,82	166,183
15	27	25000	100	711,636	23,37	3,28	211,514
20	12	1000	100	718,959	39,59	5,51	12,017
20	28	2500	100	709,118	33,77	4,76	27,143
20	4	7500	100	709,239	28,08	3,96	83,042
20	20	10000	100	701,699	29,27	4,17	101,631
20	36	15000	100	698,219	28,24	4,04	149,497
20	12	25000	100	706,434	30,67	4,34	248,504
25	35	500	100	746,627	50,58	6,77	7,839
25	5	2500	100	778,810	41,78	5,36	54,270
25	25	5000	100	727,530	50,51	6,94	80,502
25	45	7500	100	715,838	38,42	5,37	119,453
25	15	15000	100	707,522	37,75	5,34	221,648
25	35	20000	100	716,701	39,30	5,48	301,542
10	4	1000	100	697,981	24,86	3,56	20,671
10	12	2500	100	685,881	13,64	1,99	11,717
10	20	5000	100	693,605	20,75	2,99	21,029
10	8	10000	100	702,284	36,57	5,21	41,373
10	16	15000	100	691,669	22,59	3,27	59,176
10	4	25000	100	696,239	21,11	3,03	103,606
15	18	500	100	746,210	54,13	7,25	5,076
15	30	1000	100	726,605	52,20	7,18	9,999
15	12	5000	100	730,114	30,88	4,23	46,373
15	24	7500	100	706,685	30,41	4,30	55,794
15	6	15000	100	739,038	36,29	4,91	145,420
15	18	20000	100	717,797	34,38	4,79	161,806
15	30	25000	100	703,825	30,01	4,26	179,046
20	16	1000	100	708,812	38,57	5,44	11,367
20	32	2500	100	700,854	20,22	2,88	28,514
20	8	7500	100	708,395	28,42	4,01	83,603
20	24	10000	100	700,998	23,90	3,41	107,252
20	40	15000	100	694,797	20,25	2,91	154,361
20	16	25000	100	692,785	16,67	2,41	252,427
25	40	500	100	751,760	62,40	8,30	8,316
25	10	2500	100	727,762	51,00	7,01	43,657
25	30	5000	100	716,832	29,26	4,08	84,183
25	50	7500	100	717,739	45,90	6,40	119,656
25	20	15000	100	710,283	31,27	4,40	234,844
25	40	20000	100	706,696	22,86	3,23	296,462
10	6	1000	100	691,669	22,59	3,27	15,543
10	14	2500	100	705,591	44,76	6,34	16,135
10	2	7500	100	692,193	19,36	2,80	31,250
10	10	10000	100	696,938	35,57	5,10	43,010
10	18	15000	100	689,927	17,70	2,57	56,929
10	6	25000	100	691,669	22,59	3,27	96,458
15	21	500	100	718,575	47,69	6,64	3,975
15	3	2500	100	734,732	37,16	5,06	24,681
15	15	5000	100	724,070	38,03	5,25	43,680
15	27	7500	100	713,567	25,18	3,53	69,307
15	9	15000	100	713,265	26,73	3,75	124,524
15	21	20000	100	703,735	36,89	5,24	138,493
20	4	500	100	731,046	49,53	6,78	6,233
20	20	1000	100	721,729	41,12	5,70	11,133
20	36	2500	100	710,504	37,02	5,21	27,232
20	12	7500	100	708,674	31,97	4,51	79,456
20	28	10000	100	704,024	24,84	3,53	103,778
20	4	20000	100	706,065	21,77	3,08	220,320
20	20	25000	100	702,170	29,78	4,24	253,954
25	45	500	100	760,433	66,67	8,77	7,668
25	15	2500	100	730,600	56,56	7,74	43,002
25	35	5000	100	719,741	44,15	6,13	79,205
25	5	10000	100	758,856	39,49	5,20	200,033
25	25	15000	100	716,083	33,94	4,74	237,047
25	45	20000	100	709,857	32,56	4,59	303,674
10	8	1000	100	702,284	36,57	5,21	21,273
10	16	2500	100	691,669	22,59	3,27	12,166
10	4	7500	100	696,239	21,11	3,03	30,169
10	12	10000	100	685,881	13,64	1,99	36,829
10	20	15000	100	693,605	20,75	2,99	59,313
10	8	25000	100	697,920	34,99	5,01	103,374
15	24	500	100	733,535	56,06	7,64	4,592
15	6	2500	100	748,283	35,49	4,74	24,832
15	18	5000	100	721,314	39,25	5,44	41,834
15	30	7500	100	703,825	30,01	4,26	53,407
15	12	15000	100	723,947	25,99	3,59	128,814
15	24	20000	100	698,714	15,79	2,26	138,780
20	8	500	100	716,315	45,65	6,37	6,494
20	24	1000	100	731,784	46,07	6,30	11,003
20	40	2500	100	713,766	47,47	6,65	27,821
20	16	7500	100	699,625	22,34	3,19	77,907
20	32	10000	100	696,004	15,38	2,21	100,668
20	8	20000	100	707,476	28,50	4,03	213,792
20	24	25000	100	699,368	22,51	3,22	252,849
25	50	500	100	762,264	61,09	8,01	7,350
25	20	2500	100	727,632	46,44	6,38	43,163
25	40	5000	100	719,671	43,32	6,02	80,825
25	10	10000	100	720,430	40,33	5,60	159,312
25	30	15000	100	708,787	28,93	4,08	231,649
25	50	20000	100	702,616	31,81	4,53	291,745
10	6	500	100	691,669	22,59	3,27	11,903
10	14	1000	100	707,253	48,65	6,88	7,224
10	2	5000	100	692,193	19,36	2,80	22,791
10	10	7500	100	696,938	35,57	5,10	32,309
10	18	10000	100	689,927	17,70	2,57	37,959
10	6	20000	100	691,669	22,59	3,27	76,326
10	14	25000	100	696,498	34,80	5,00	99,085
15	3	1000	100	745,926	43,66	5,85	10,332
15	15	2500	100	732,115	48,65	6,65	23,287
15	27	5000	100	717,207	22,40	3,12	46,556
15	9	10000	100	714,669	27,60	3,86	82,744
15	21	15000	100	703,735	36,89	5,24	103,006
15	3	25000	100	712,648	24,07	3,38	211,789
20	20	500	100	730,621	52,18	7,14	5,267
20	36	1000	100	720,854	48,02	6,66	11,601
20	12	5000	100	708,674	31,97	4,51	54,103
20	28	7500	100	704,232	25,00	3,55	78,595
20	4	15000	100	705,278	21,28	3,02	164,406
20	20	20000	100	701,699	29,27	4,17	202,221
20	36	25000	100	694,264	17,95	2,59	243,226
25	15	1000	100	748,124	60,78	8,12	16,122
25	35	2500	100	733,324	53,45	7,29	39,959
25	5	7500	100	758,856	39,49	5,20	149,854
25	25	10000	100	720,160	42,93	5,96	155,631
25	45	15000	100	709,857	32,56	4,59	230,456
25	15	25000	100	706,072	34,36	4,87	335,245
10	8	500	100	705,729	38,51	5,46	15,222
10	16	1000	100	691,669	22,59	3,27	6,689
10	4	5000	100	696,239	21,11	3,03	22,442
10	12	7500	100	685,881	13,64	1,99	30,758
10	20	10000	100	693,605	20,75	2,99	39,971
10	8	20000	100	702,284	36,57	5,21	83,976
10	16	25000	100	691,669	22,59	3,27	98,945
15	6	1000	100	757,232	33,05	4,37	10,728
15	18	2500	100	726,153	44,44	6,12	22,769
15	30	5000	100	703,825	30,01	4,26	38,997
15	12	10000	100	727,104	30,44	4,19	88,451
15	24	15000	100	702,068	21,70	3,09	109,551
15	6	25000	100	739,038	36,29	4,91	236,086
20	24	500	100	734,570	47,88	6,52	5,380
20	40	1000	100	725,512	57,92	7,98	11,274
20	16	5000	100	701,924	22,19	3,16	53,435
20	32	7500	100	696,004	15,38	2,21	77,217
20	8	15000	100	707,476	28,50	4,03	162,003
20	24	20000	100	700,998	23,90	3,41	210,283
20	40	25000	100	694,797	20,25	2,91	248,290
25	20	1000	100	752,790	53,46	7,10	17,370
25	40	2500	100	734,487	51,76	7,05	39,557
25	10	7500	100	724,446	48,31	6,67	123,946
25	30	10000	100	710,520	30,61	4,31	158,997
25	50	15000	100	709,645	41,67	5,87	228,367
25	20	25000	100	710,283	31,27	4,40	342,246
10	10	500	100	701,761	43,38	6,18	17,223
10	18	1000	100	696,638	40,65	5,83	7,314
10	6	5000	100	691,669	22,59	3,27	19,881
10	14	7500	100	696,498	34,80	5,00	30,857
10	2	15000	100	692,193	19,36	2,80	58,611
10	10	20000	100	696,938	35,57	5,10	84,209
10	18	25000	100	689,927	17,70	2,57	94,727
15	9	1000	100	731,639	41,76	5,71	9,977
15	21	2500	100	709,055	43,17	6,09	18,145
15	3	7500	100	732,135	39,35	5,37	68,867
15	15	10000	100	724,070	38,03	5,25	85,233
15	27	15000	100	711,145	23,40	3,29	132,949
15	9	25000	100	712,549	26,58	3,73	202,615
20	28	500	100	733,271	50,82	6,93	5,422
20	4	2500	100	718,591	39,31	5,47	31,026
20	20	5000	100	704,982	32,43	4,60	54,037
20	36	7500	100	698,219	28,24	4,04	77,533
20	12	15000	100	706,434	30,67	4,34	155,306
20	28	20000	100	701,716	19,55	2,79	203,376
25	5	500	100	797,655	39,91	5,00	12,622
25	25	1000	100	745,728	56,29	7,55	15,335
25	45	2500	100	750,867	48,37	6,44	40,100
25	15	7500	100	711,289	39,02	5,49	120,650
25	35	10000	100	721,087	42,00	5,82	159,117
25	5	20000	100	749,505	33,34	4,45	395,665
25	25	25000	100	710,362	28,34	3,99	346,990
10	12	500	100	701,482	33,72	4,81	16,913
10	20	1000	100	694,740	25,40	3,66	5,781
10	8	5000	100	702,284	36,57	5,21	23,507
10	16	7500	100	691,669	22,59	3,27	30,086
10	4	15000	100	696,239	21,11	3,03	59,275
10	12	20000	100	685,881	13,64	1,99	71,966
10	20	25000	100	693,605	20,75	2,99	97,291
15	12	1000	100	761,358	40,80	5,36	10,001
15	24	2500	100	706,685	30,41	4,30	18,931
15	6	7500	100	739,038	36,29	4,91	71,527
15	18	10000	100	717,797	34,38	4,79	80,730
15	30	15000	100	703,825	30,01	4,26	103,574
15	12	25000	100	723,947	25,99	3,59	216,067
20	32	500	100	725,393	48,72	6,72	6,176
20	8	2500	100	709,497	34,98	4,93	28,432
20	24	5000	100	703,961	31,39	4,46	55,917
20	40	7500	100	696,015	22,11	3,18	79,618
20	16	15000	100	697,399	20,71	2,97	151,693
20	32	20000	100	695,671	14,76	2,12	192,460
25	10	500	100	739,388	55,99	7,57	8,445
25	30	1000	100	744,568	47,45	6,37	15,953
25	50	2500	100	733,059	52,97	7,23	40,032
25	20	7500	100	714,279	37,58	5,26	120,917
25	40	10000	100	711,801	32,51	4,57	151,409
25	10	20000	100	713,965	34,35	4,81	314,205
25	30	25000	100	705,173	25,46	3,61	363,144
10	14	500	100	707,253	48,65	6,88	13,980
10	2	2500	100	692,193	19,36	2,80	14,154
10	10	5000	100	696,938	35,57	5,10	22,888
10	18	7500	100	689,927	17,70	2,57	28,548
10	6	15000	100	691,669	22,59	3,27	58,379
10	14	20000	100	696,498	34,80	5,00	79,774
15	3	500	100	755,338	45,98	6,09	6,144
15	15	1000	100	737,003	46,42	6,30	9,112
15	27	2500	100	731,110	38,32	5,24	24,590
15	9	7500	100	716,713	27,55	3,84	63,376
15	21	10000	100	703,369	34,67	4,93	69,415
15	3	20000	100	715,557	23,92	3,34	171,637
15	15	25000	100	721,215	34,80	4,82	209,389
20	36	500	100	731,891	49,12	6,71	5,375
20	12	2500	100	715,596	36,94	5,16	28,064
20	28	5000	100	705,231	26,64	3,78	53,663
20	4	10000	100	709,096	27,16	3,83	111,232
20	20	15000	100	701,699	29,27	4,17	152,968
20	36	20000	100	698,713	28,40	4,06	199,020
25	15	500	100	755,535	55,81	7,39	8,131
25	35	1000	100	745,011	51,19	6,87	15,371
25	5	5000	100	765,103	42,87	5,60	104,648
25	25	7500	100	723,156	48,99	6,77	119,468
25	45	10000	100	713,078	33,44	4,69	160,034
25	15	20000	100	707,097	37,09	5,25	300,894
25	35	25000	100	715,626	35,66	4,98	358,857
10	16	500	100	699,017	29,06	4,16	17,052
10	4	2500	100	696,239	21,11	3,03	13,809
10	12	5000	100	685,881	13,64	1,99	19,863
10	20	7500	100	693,605	20,75	2,99	31,169
10	8	15000	100	702,284	36,57	5,21	62,854
10	16	20000	100	691,669	22,59	3,27	77,125
15	6	500	100	772,337	37,93	4,91	5,894
15	18	1000	100	736,766	50,12	6,80	9,136
15	30	2500	100	710,313	38,23	5,38	20,784
15	12	7500	100	727,104	30,44	4,19	68,374
15	24	10000	100	703,673	23,58	3,35	70,661
15	6	20000	100	739,038	36,29	4,91	194,536
15	18	25000	100	717,797	34,38	4,79	198,056
20	40	500	100	738,345	79,01	10,70	5,122
20	16	2500	100	702,302	25,94	3,69	27,531
20	32	5000	100	697,209	17,56	2,52	52,948
20	8	10000	100	707,476	28,50	4,03	109,731
20	24	15000	100	700,998	23,90	3,41	160,047
20	40	20000	100	694,797	20,25	2,91	196,199
25	20	500	100	754,574	58,84	7,80	8,314
25	40	1000	100	739,386	54,56	7,38	15,991
25	10	5000	100	725,518	54,17	7,47	83,757
25	30	7500	100	712,519	29,60	4,15	124,071
25	50	10000	100	712,795	46,01	6,46	155,703
25	20	20000	100	710,283	31,27	4,40	308,620
25	40	25000	100	706,696	22,86	3,23	360,879
10	18	500	100	696,638	40,65	5,83	21,565
10	6	2500	100	691,669	22,59	3,27	11,359
10	14	5000	100	705,591	44,76	6,34	22,237
10	2	10000	100	692,193	19,36	2,80	40,187
10	10	15000	100	696,938	35,57	5,10	64,122
10	18	20000	100	689,927	17,70	2,57	75,243
15	9	500	100	736,540	45,02	6,11	5,219
15	21	1000	100	711,471	41,72	5,86	6,847
15	3	5000	100	732,135	39,35	5,37	47,076
15	15	7500	100	724,070	38,03	5,25	66,044
15	27	10000	100	713,331	24,66	3,46	90,477
15	9	20000	100	712,549	26,58	3,73	162,996
15	21	25000	100	699,975	24,44	3,49	173,926
20	4	1000	100	721,541	41,77	5,79	12,269
20	20	2500	100	710,334	36,13	5,09	27,806
20	36	5000	100	703,730	33,06	4,70	54,472
20	12	10000	100	708,361	35,76	5,05	106,702
20	28	15000	100	702,090	21,53	3,07	150,868
20	4	25000	100	706,065	21,77	3,08	279,544
25	25	500	100	781,471	67,96	8,70	8,074
25	45	1000	100	748,820	51,29	6,85	15,579
25	15	5000	100	716,892	44,15	6,16	80,882
25	35	7500	100	721,087	42,00	5,82	121,319
25	5	15000	100	753,031	36,39	4,83	299,131
25	25	20000	100	714,502	36,51	5,11	304,368
