numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
10	2	250	100	708,139	41,52	5,86	16,965
10	10	500	100	701,761	43,38	6,18	7,512
10	18	750	100	696,638	40,65	5,83	3,692
10	6	1500	100	691,669	22,59	3,27	7,038
10	14	2000	100	705,591	44,76	6,34	8,834
10	2	3000	100	692,193	19,36	2,80	12,588
10	10	3500	100	696,938	35,57	5,10	14,944
10	18	4000	100	689,927	17,70	2,57	14,980
10	6	5000	100	691,669	22,59	3,27	19,873
15	21	375	100	718,575	47,69	6,64	3,423
15	3	1125	100	741,900	42,12	5,68	12,442
15	15	1500	100	732,661	44,69	6,10	14,573
15	27	2250	100	731,110	38,32	5,24	22,483
15	9	3750	100	721,323	34,34	4,76	32,944
15	21	4500	100	708,829	43,78	6,18	31,978
15	3	6000	100	732,135	39,35	5,37	56,010
15	15	6750	100	724,070	38,03	5,25	59,745
15	27	7500	100	713,567	25,18	3,53	69,837
20	12	1000	100	718,959	39,59	5,51	11,841
20	28	1500	100	713,827	35,94	5,03	17,439
20	4	3000	100	711,885	32,26	4,53	35,212
20	20	4000	100	708,291	34,33	4,85	43,890
20	36	5000	100	703,730	33,06	4,70	54,338
20	12	7000	100	708,674	31,97	4,51	74,440
20	28	8000	100	704,232	25,00	3,55	85,760
20	4	10000	100	709,096	27,16	3,83	111,736
25	25	625	100	768,665	72,24	9,40	10,952
25	45	1250	100	756,045	53,42	7,07	19,708
25	15	2500	100	730,600	56,56	7,74	43,647
25	35	3750	100	725,272	46,91	6,47	61,565
25	5	6250	100	758,856	39,49	5,20	130,137
25	25	7500	100	723,156	48,99	6,77	122,648
25	45	8750	100	715,838	38,42	5,37	139,308
25	15	11250	100	707,473	38,11	5,39	170,894
25	35	12500	100	720,577	40,93	5,68	168,770
10	4	250	100	703,665	43,38	6,17	15,362
10	12	500	100	701,482	33,72	4,81	7,391
10	20	750	100	694,740	25,40	3,66	4,433
10	8	1500	100	702,284	36,57	5,21	6,603
10	16	2000	100	691,669	22,59	3,27	8,959
10	4	3000	100	696,239	21,11	3,03	12,274
10	12	3500	100	685,881	13,64	1,99	13,548
10	20	4000	100	693,605	20,75	2,99	14,781
10	8	5000	100	702,284	36,57	5,21	20,073
15	24	375	100	731,114	52,67	7,20	3,408
15	6	1125	100	758,687	33,81	4,46	12,496
15	18	1500	100	735,415	52,23	7,10	13,947
15	30	2250	100	715,564	40,38	5,64	18,798
15	12	3750	100	730,078	31,22	4,28	34,736
15	24	4500	100	706,685	30,41	4,30	34,083
15	6	6000	100	739,038	36,29	4,91	58,993
15	18	6750	100	717,797	34,38	4,79	53,842
15	30	7500	100	703,825	30,01	4,26	53,028
20	16	1000	100	708,812	38,57	5,44	11,788
20	32	1500	100	707,610	32,38	4,58	17,055
20	8	3000	100	709,497	34,98	4,93	33,297
20	24	4000	100	703,974	31,44	4,47	44,364
20	40	5000	100	700,300	32,68	4,67	52,129
20	16	7000	100	699,625	22,34	3,19	71,721
20	32	8000	100	696,004	15,38	2,21	80,520
20	8	10000	100	707,476	28,50	4,03	105,426
25	30	625	100	750,956	49,44	6,58	9,563
25	50	1250	100	748,914	60,21	8,04	18,151
25	20	2500	100	727,632	46,44	6,38	40,752
25	40	3750	100	719,671	43,32	6,02	59,835
25	10	6250	100	724,446	48,31	6,67	101,506
25	30	7500	100	712,519	29,60	4,15	120,287
25	50	8750	100	717,465	49,87	6,95	133,979
25	20	11250	100	710,283	31,27	4,40	170,044
25	40	12500	100	710,686	31,43	4,42	179,118
10	2	500	100	702,950	41,11	5,85	13,584
10	10	750	100	700,513	42,89	6,12	5,427
10	18	1000	100	696,638	40,65	5,83	5,617
10	6	2000	100	691,669	22,59	3,27	7,737
10	14	2500	100	705,591	44,76	6,34	10,153
10	2	3500	100	692,193	19,36	2,80	14,477
10	10	4000	100	696,938	35,57	5,10	17,006
10	18	4500	100	689,927	17,70	2,57	17,941
15	9	375	100	736,864	47,31	6,42	4,231
15	21	750	100	716,080	48,07	6,71	5,850
15	3	1500	100	740,670	41,50	5,60	14,155
15	15	2250	100	732,115	48,65	6,65	21,628
15	27	3000	100	725,414	32,22	4,44	28,374
15	9	4500	100	716,462	29,18	4,07	40,806
15	21	5250	100	707,449	39,37	5,57	37,234
15	3	6750	100	732,135	39,35	5,37	60,662
15	15	7500	100	724,070	38,03	5,25	66,951
20	36	500	100	731,891	49,12	6,71	5,127
20	12	1500	100	716,415	40,00	5,58	17,236
20	28	2000	100	710,116	34,82	4,90	21,323
20	4	4000	100	709,946	29,29	4,13	45,919
20	20	5000	100	704,982	32,43	4,60	55,674
20	36	6000	100	704,423	35,72	5,07	62,469
20	12	8000	100	708,674	31,97	4,51	82,325
20	28	9000	100	704,024	24,84	3,53	93,300
25	5	625	100	797,655	39,91	5,00	14,663
25	25	1250	100	745,728	56,29	7,55	20,839
25	45	1875	100	746,090	45,47	6,09	29,843
25	15	3750	100	721,740	50,82	7,04	61,716
25	35	5000	100	719,741	44,15	6,13	79,956
25	5	7500	100	758,856	39,49	5,20	150,010
25	25	8750	100	720,160	42,93	5,96	137,226
25	45	10000	100	713,078	33,44	4,69	159,784
25	15	12500	100	707,473	38,11	5,39	187,352
10	4	500	100	697,981	24,86	3,56	16,297
10	12	750	100	693,228	24,79	3,58	5,582
10	20	1000	100	694,740	25,40	3,66	4,885
10	8	2000	100	702,284	36,57	5,21	9,467
10	16	2500	100	691,669	22,59	3,27	11,411
10	4	3500	100	696,239	21,11	3,03	14,840
10	12	4000	100	685,881	13,64	1,99	15,139
10	20	4500	100	693,605	20,75	2,99	18,813
15	12	375	100	779,985	39,09	5,01	4,244
15	24	750	100	723,044	49,82	6,89	6,074
15	6	1500	100	754,820	33,84	4,48	16,335
15	18	2250	100	726,153	44,44	6,12	19,561
15	30	3000	100	706,867	31,48	4,45	24,669
15	12	4500	100	730,114	30,88	4,23	42,212
15	24	5250	100	706,685	30,41	4,30	37,356
15	6	6750	100	739,038	36,29	4,91	67,698
15	18	7500	100	717,797	34,38	4,79	61,337
20	40	500	100	738,345	79,01	10,70	5,525
20	16	1500	100	710,725	36,25	5,10	17,986
20	32	2000	100	702,592	23,67	3,37	23,759
20	8	4000	100	709,497	34,98	4,93	46,125
20	24	5000	100	703,961	31,39	4,46	55,738
