numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
10	2	250	100	708,139	41,52	5,86	28,436
10	10	500	100	701,761	43,38	6,18	6,605
10	18	750	100	696,638	40,65	5,83	4,513
10	6	1500	100	691,669	22,59	3,27	6,498
10	14	2000	100	705,591	44,76	6,34	9,687
10	2	3000	100	692,193	19,36	2,80	13,392
10	10	3500	100	696,938	35,57	5,10	15,056
10	18	4000	100	689,927	17,70	2,57	15,823
10	6	5000	100	691,669	22,59	3,27	19,724
15	21	562	100	717,683	48,43	6,75	5,106
15	3	1688	100	740,670	41,50	5,60	17,763
15	15	2250	100	732,115	48,65	6,65	20,654
15	27	3375	100	720,790	23,61	3,28	32,043
15	9	5625	100	716,713	27,55	3,84	48,935
15	21	6750	100	703,369	34,67	4,93	48,782
15	3	9000	100	731,518	37,63	5,14	82,747
15	15	10125	100	724,070	38,03	5,25	87,016
15	27	11250	100	713,331	24,66	3,46	102,449
20	12	2000	100	714,837	39,99	5,59	23,414
20	28	3000	100	708,968	28,06	3,96	33,053
20	4	6000	100	709,475	28,27	3,98	67,609
20	20	8000	100	701,699	29,27	4,17	83,791
20	36	10000	100	698,219	28,24	4,04	102,290
20	12	14000	100	706,434	30,67	4,34	146,329
20	28	16000	100	702,090	21,53	3,07	164,229
20	4	20000	100	706,065	21,77	3,08	223,031
25	25	1562	100	745,121	52,60	7,06	25,762
25	45	3125	100	736,775	49,11	6,67	52,024
25	15	6250	100	711,289	39,02	5,49	101,867
25	35	9375	100	721,087	42,00	5,82	152,883
25	5	15625	100	753,031	36,39	4,83	314,563
25	25	18750	100	714,299	35,66	4,99	294,991
25	45	21875	100	709,857	32,56	4,59	326,192
25	15	28125	100	705,364	33,56	4,76	421,195
25	35	31250	100	715,626	35,66	4,98	425,544
10	4	250	100	703,665	43,38	6,17	26,568
10	12	500	100	701,482	33,72	4,81	6,766
10	20	750	100	694,740	25,40	3,66	3,838
10	8	1500	100	702,284	36,57	5,21	7,602
10	16	2000	100	691,669	22,59	3,27	8,643
10	4	3000	100	696,239	21,11	3,03	12,347
10	12	3500	100	685,881	13,64	1,99	14,094
10	20	4000	100	693,605	20,75	2,99	16,161
10	8	5000	100	702,284	36,57	5,21	20,532
15	24	562	100	728,194	44,43	6,10	4,693
15	6	1688	100	754,600	34,03	4,51	19,007
15	18	2250	100	726,153	44,44	6,12	21,371
15	30	3375	100	705,431	31,15	4,42	27,846
15	12	5625	100	730,114	30,88	4,23	51,485
15	24	6750	100	706,685	30,41	4,30	47,854
15	6	9000	100	739,038	36,29	4,91	88,970
15	18	10125	100	717,797	34,38	4,79	81,025
15	30	11250	100	703,825	30,01	4,26	81,258
20	16	2000	100	705,623	33,81	4,79	22,667
20	32	3000	100	697,701	18,73	2,68	33,000
20	8	6000	100	709,497	34,98	4,93	65,091
20	24	8000	100	700,998	23,90	3,41	84,068
20	40	10000	100	696,015	22,11	3,18	101,959
20	16	14000	100	697,399	20,71	2,97	139,517
20	32	16000	100	695,671	14,76	2,12	155,520
20	8	20000	100	707,476	28,50	4,03	209,816
25	30	1562	100	737,915	50,37	6,83	26,105
25	50	3125	100	727,305	49,03	6,74	49,903
25	20	6250	100	716,401	41,70	5,82	96,613
25	40	9375	100	711,801	32,51	4,57	149,400
25	10	15625	100	716,702	36,82	5,14	243,221
25	30	18750	100	709,135	29,08	4,10	283,908
25	50	21875	100	702,360	31,23	4,45	320,554
25	20	28125	100	710,283	31,27	4,40	411,078
25	40	31250	100	706,256	21,98	3,11	429,091
10	2	500	100	702,950	41,11	5,85	26,384
10	10	750	100	700,513	42,89	6,12	6,081
10	18	1000	100	696,638	40,65	5,83	5,587
10	6	2000	100	691,669	22,59	3,27	9,246
10	14	2500	100	705,591	44,76	6,34	10,476
10	2	3500	100	692,193	19,36	2,80	14,546
10	10	4000	100	696,938	35,57	5,10	17,598
10	18	4500	100	689,927	17,70	2,57	16,754
15	9	562	100	733,712	42,19	5,75	6,244
15	21	1125	100	708,548	42,92	6,06	8,903
15	3	2250	100	735,747	36,24	4,93	22,559
15	15	3375	100	732,115	48,65	6,65	30,998
15	27	4500	100	717,476	22,36	3,12	42,907
15	9	6750	100	716,713	27,55	3,84	59,471
15	21	7875	100	703,369	34,67	4,93	57,070
15	3	10125	100	722,710	28,89	4,00	94,619
15	15	11250	100	724,070	38,03	5,25	99,357
20	36	1000	100	720,854	48,02	6,66	11,909
20	12	3000	100	711,214	36,47	5,13	34,535
20	28	4000	100	706,190	26,82	3,80	43,723
20	4	8000	100	709,239	28,08	3,96	90,407
20	20	10000	100	701,699	29,27	4,17	109,415
20	36	12000	100	698,219	28,24	4,04	125,090
20	12	16000	100	706,434	30,67	4,34	167,374
20	28	18000	100	701,716	19,55	2,79	186,312
25	5	1562	100	783,754	43,42	5,54	35,383
