numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
10	5	500	60	696,764	27,90	4,00	15,121
10	25	1000	60	685,881	13,64	1,99	5,776
10	45	2500	60	698,870	42,93	6,14	17,669
10	15	7500	60	685,881	13,64	1,99	28,439
10	35	10000	60	685,881	13,64	1,99	36,444
10	5	20000	60	688,290	19,71	2,86	74,061
10	25	25000	60	685,881	13,64	1,99	91,519
15	45	500	60	787,775	35,14	4,46	5,805
15	15	2500	60	737,221	36,88	5,00	23,100
15	35	5000	60	724,937	43,67	6,02	47,096
15	5	10000	60	726,510	26,18	3,60	95,234
15	25	15000	60	722,460	32,15	4,45	128,750
15	45	20000	60	711,275	25,91	3,64	169,300
20	15	500	60	727,285	51,50	7,08	6,253
20	35	1000	60	729,223	51,23	7,03	11,327
20	5	5000	60	713,319	27,67	3,88	54,677
20	25	7500	60	694,240	16,58	2,39	73,789
20	45	10000	60	699,579	30,06	4,30	104,499
20	15	20000	60	698,797	23,68	3,39	211,856
20	35	25000	60	697,310	21,79	3,12	250,174
25	5	1000	60	780,260	41,79	5,36	22,494
25	25	2500	60	781,880	39,93	5,11	56,174
25	45	5000	60	775,128	43,79	5,65	103,924
25	15	10000	60	714,852	35,70	4,99	161,776
25	35	15000	60	710,028	38,19	5,38	223,546
25	5	25000	60	730,985	23,92	3,27	443,890
10	10	500	60	685,881	13,64	1,99	17,199
10	30	1000	60	689,050	21,35	3,10	5,418
10	50	2500	60	689,927	17,70	2,57	10,743
10	20	7500	60	689,927	17,70	2,57	30,227
10	40	10000	60	685,881	13,64	1,99	40,823
10	10	20000	60	685,881	13,64	1,99	76,021
10	30	25000	60	689,050	21,35	3,10	96,689
15	50	500	60	786,547	35,07	4,46	5,772
15	20	2500	60	737,000	44,94	6,10	23,467
15	40	5000	60	718,185	32,08	4,47	46,741
15	10	10000	60	726,770	22,08	3,04	95,755
15	30	15000	60	730,602	13,03	1,78	147,080
15	50	20000	60	712,619	23,60	3,31	175,108
20	20	500	60	722,351	49,57	6,86	5,916
20	40	1000	60	719,877	41,50	5,76	11,026
20	10	5000	60	708,560	36,01	5,08	54,577
20	30	7500	60	701,492	24,93	3,55	85,169
20	50	10000	60	699,973	27,47	3,92	106,640
20	20	20000	60	696,226	21,06	3,02	213,862
20	40	25000	60	695,139	18,39	2,65	255,061
25	10	1000	60	746,506	52,09	6,98	18,967
25	30	2500	60	750,312	53,04	7,07	47,568
25	50	5000	60	719,561	43,18	6,00	85,253
25	20	10000	60	715,198	43,98	6,15	157,241
25	40	15000	60	710,283	30,77	4,33	237,049
25	10	25000	60	727,166	42,25	5,81	403,421
10	5	1000	60	688,290	19,71	2,86	16,937
10	25	2500	60	685,881	13,64	1,99	13,083
10	45	5000	60	696,488	35,56	5,11	21,624
10	15	10000	60	685,881	13,64	1,99	40,326
10	35	15000	60	685,881	13,64	1,99	59,445
10	5	25000	60	688,290	19,71	2,86	98,922
15	25	500	60	780,202	38,49	4,93	6,236
15	45	1000	60	778,504	42,69	5,48	11,873
15	15	5000	60	728,653	33,24	4,56	49,321
15	35	7500	60	726,032	40,97	5,64	72,698
15	5	15000	60	726,510	26,18	3,60	151,011
15	25	20000	60	718,816	26,35	3,67	182,391
15	45	25000	60	711,275	25,91	3,64	228,876
20	15	1000	60	719,000	46,71	6,50	11,232
20	35	2500	60	707,762	39,03	5,51	29,258
20	5	7500	60	712,309	26,88	3,77	87,994
20	25	10000	60	694,240	16,58	2,39	104,387
20	45	15000	60	696,825	22,54	3,24	163,250
20	15	25000	60	698,797	23,68	3,39	268,105
25	35	500	60	785,488	71,70	9,13	10,479
25	5	2500	60	766,033	38,85	5,07	52,777
25	25	5000	60	773,946	36,23	4,68	112,786
25	45	7500	60	761,460	42,21	5,54	154,949
25	15	15000	60	708,994	29,95	4,22	240,937
25	35	20000	60	705,914	30,67	4,35	286,328
10	10	1000	60	685,881	13,64	1,99	17,354
10	30	2500	60	689,050	21,35	3,10	12,564
10	50	5000	60	689,927	17,70	2,57	21,020
10	20	10000	60	689,927	17,70	2,57	37,459
10	40	15000	60	685,881	13,64	1,99	56,847
10	10	25000	60	685,881	13,64	1,99	93,871
15	30	500	60	790,875	33,46	4,23	6,587
15	50	1000	60	780,590	49,01	6,28	11,904
15	20	5000	60	716,370	34,17	4,77	45,295
15	40	7500	60	717,631	30,33	4,23	67,690
15	10	15000	60	726,770	22,08	3,04	137,772
15	30	20000	60	728,242	11,18	1,54	197,141
15	50	25000	60	712,619	23,60	3,31	217,556
20	20	1000	60	711,123	39,95	5,62	11,374
20	40	2500	60	706,821	44,37	6,28	28,781
20	10	7500	60	705,097	28,48	4,04	80,086
20	30	10000	60	699,829	23,16	3,31	114,403
20	50	15000	60	698,381	26,32	3,77	156,143
20	20	25000	60	696,226	21,06	3,02	257,825
25	40	500	60	762,770	71,50	9,37	9,251
25	10	2500	60	738,100	48,43	6,56	44,555
25	30	5000	60	731,277	45,00	6,15	88,700
25	50	7500	60	710,394	38,44	5,41	123,952
25	20	15000	60	715,198	43,98	6,15	222,925
25	40	20000	60	706,531	22,98	3,25	302,265
10	15	1000	60	685,881	13,64	1,99	14,105
