numMobiles	populationSize	mapoModelMaxEvaluations	injectedSolutionsFraction	avg	std	std_percent	time
10	12	240	100	708,650	34,68	4,89	15,334
12	14	288	100	737,003	53,00	7,19	6,149
14	17	336	100	732,024	62,49	8,54	4,569
16	19	384	100	744,877	51,81	6,96	4,703
18	22	432	100	727,397	52,09	7,16	5,423
20	24	480	100	734,570	47,88	6,52	6,155
10	18	360	100	707,238	44,16	6,24	17,126
12	22	432	100	707,134	47,85	6,77	4,958
14	25	504	100	748,905	46,94	6,27	7,051
16	29	576	100	740,465	56,94	7,69	7,192
18	32	648	100	725,782	45,68	6,29	7,304
20	36	720	100	723,052	46,06	6,37	7,726
10	72	1440	100	689,050	21,35	3,10	19,515
12	86	1728	100	711,247	39,04	5,49	13,682
14	101	2016	100	715,186	41,90	5,86	16,252
16	115	2304	100	715,312	39,84	5,57	19,629
18	130	2592	100	726,312	47,28	6,51	20,782
20	144	2880	100	731,023	51,75	7,08	25,904
10	78	1560	100	696,738	29,58	4,25	23,219
12	94	1872	100	701,638	39,18	5,58	12,098
14	109	2184	100	737,292	51,28	6,95	18,324
16	125	2496	100	718,241	44,25	6,16	19,645
18	140	2808	100	726,046	45,55	6,27	24,138
20	156	3120	100	723,950	39,66	5,48	27,645
10	84	1680	100	691,669	22,59	3,27	25,851
12	101	2016	100	706,463	39,73	5,62	14,705
14	118	2352	100	724,167	46,37	6,40	16,636
16	134	2688	100	732,182	44,73	6,11	23,929
18	151	3024	100	717,050	39,31	5,48	23,837
20	168	3360	100	716,992	47,71	6,65	28,092
10	90	1800	100	691,669	22,59	3,27	26,721
12	108	2160	100	711,578	48,36	6,80	15,114
14	126	2520	100	727,997	60,46	8,31	17,595
16	144	2880	100	737,770	55,99	7,59	23,521
18	162	3240	100	725,113	48,67	6,71	26,027
20	180	3600	100	731,295	55,73	7,62	30,331
10	24	480	100	702,166	26,74	3,81	12,377
12	29	576	100	733,655	42,73	5,82	7,170
14	34	672	100	769,563	57,87	7,52	8,130
16	38	768	100	719,707	38,91	5,41	7,084
18	43	864	100	726,401	38,92	5,36	8,838
20	48	960	100	726,910	39,05	5,37	10,575
10	30	600	100	697,190	37,84	5,43	11,618
12	36	720	100	727,100	58,84	8,09	9,267
14	42	840	100	756,989	47,01	6,21	8,925
16	48	960	100	715,376	42,65	5,96	9,375
18	54	1080	100	722,646	53,78	7,44	10,425
20	60	1200	100	724,880	48,11	6,64	12,960
10	36	720	100	691,669	22,59	3,27	19,402
12	43	864	100	713,870	40,31	5,65	7,641
14	50	1008	100	725,032	40,65	5,61	8,473
16	58	1152	100	708,893	41,14	5,80	10,370
18	65	1296	100	729,341	53,49	7,33	12,674
20	72	1440	100	730,996	47,39	6,48	13,991
10	42	840	100	698,897	43,02	6,16	18,639
12	50	1008	100	717,618	52,07	7,26	11,001
14	59	1176	100	740,344	40,28	5,44	12,343
16	67	1344	100	719,722	44,45	6,18	11,810
18	76	1512	100	719,950	46,40	6,45	13,362
20	84	1680	100	732,302	51,02	6,97	16,054
10	48	960	100	695,385	35,11	5,05	14,299
12	58	1152	100	704,076	37,46	5,32	9,258
14	67	1344	100	723,911	48,47	6,70	11,565
16	77	1536	100	744,932	55,99	7,52	15,838
18	86	1728	100	731,682	47,77	6,53	16,127
20	96	1920	100	719,706	31,97	4,44	16,703
10	54	1080	100	697,767	42,43	6,08	16,920
12	65	1296	100	713,841	51,73	7,25	11,384
14	76	1512	100	727,309	54,97	7,56	12,451
16	86	1728	100	724,181	49,01	6,77	15,035
18	97	1944	100	720,113	46,71	6,49	16,954
20	108	2160	100	725,212	49,99	6,89	20,614
10	60	1200	100	698,870	42,93	6,14	22,553
12	72	1440	100	710,773	39,11	5,50	11,604
14	84	1680	100	748,585	54,65	7,30	15,286
16	96	1920	100	727,109	50,85	6,99	16,890
18	108	2160	100	728,532	51,71	7,10	18,170
20	120	2400	100	716,153	39,17	5,47	20,212
10	66	1320	100	703,153	42,88	6,10	22,906
12	79	1584	100	723,198	58,55	8,10	13,077
14	92	1848	100	745,306	56,62	7,60	17,935
16	106	2112	100	727,631	40,61	5,58	16,332
18	119	2376	100	723,071	58,26	8,06	19,502
20	132	2640	100	712,562	42,34	5,94	22,477
